Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.007663,0.00070152,0.044471,0,0,0,65,0.0049866,9.2745E-08,-1.1215E-08,0.0046181,-1.3696E-12,0.0071141,0,0,0,0,0,0,package://RCA3/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/base.STL,,BODY3-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.0053275,-0.01473,-5.6037E-05,0,0,0,0.75,0.00013288,-3.0666E-08,-3.6207E-07,0.00023468,-2.5284E-08,0.0001206,0,0,0,0,0,0,package://RCA3/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FL_hip.STL,,hip-1,FL_hip_link,FL_a_hip_link,FL_hip_joint,revolute,0.21285,0.0625,0.05425,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.0010254,-0.025525,-0.023102,0,0,0,0.9,0.00098781,-9.4071E-07,2.6119E-05,0.001183,4.4588E-07,0.00024615,0,0,0,0,0,0,package://RCA3/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FL_thigh.STL,,Lthigh-1,FL_thigh_link,FL_a_thigh_link,FL_thigh_joint,revolute,0,0.0904,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,0.01968,-1.185E-06,-0.10487,0,0,0,0.09,0.00050629,-1.1668E-10,-9.2634E-05,0.00053849,-4.3583E-12,3.3623E-05,0,0,0,0,0,0,package://RCA3/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FL_calf.STL,,calf1-1,FL_calf_link,FL_a_calf_link,FL_calf_joint,revolute,0,0,-0.2,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,0.0067534,0.00026524,0.0092341,0,0,0,0.05,1.3694E-05,4.5944E-08,9.1295E-07,1.5684E-05,6.2684E-08,1.3113E-05,0,0,0,0,0,0,package://RCA3/meshes/FL_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RCA3/meshes/FL_foot.STL,,foot-2,FL_foot_link,,FL_foot_joint,fixed,-9.4519E-05,-0.0005,-0.23563,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.0053275,0.01473,5.6037E-05,0,0,0,0.75,0.00013288,3.0666E-08,3.6207E-07,0.00023468,-2.5284E-08,0.0001206,0,0,0,0,0,0,package://RCA3/meshes/FR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FR_hip.STL,,hip-2,FR_hip_link,FR_a_hip_link,FR_hip_joint,revolute,0.21285,-0.0625,0.05425,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.0010254,0.025525,-0.023102,0,0,0,0.9,0.00098781,9.4069E-07,2.6119E-05,0.001183,-4.4589E-07,0.00024615,0,0,0,0,0,0,package://RCA3/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FR_thigh.STL,,MirrorLthigh-3,FR_thigh_link,FR_a_thigh_link,FR_thigh_joint,revolute,0,-0.0904,0,0,0,0,FR_hip,0,1,0,0,0,0,0,,,,,,,,
FR_calf,0.01968,-1.185E-06,-0.10487,0,0,0,0.09,0.00050629,-1.1668E-10,-9.2634E-05,0.00053849,-4.3583E-12,3.3623E-05,0,0,0,0,0,0,package://RCA3/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/FR_calf.STL,,calf1-3,FR_calf_link,FR_a_calf_link,FR_calf_joint,revolute,0,0,-0.2,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_foot,0.0067531,-0.00026524,0.0092343,0,0,0,0.05,1.3694E-05,-4.5807E-08,9.1311E-07,1.5684E-05,-6.278E-08,1.3113E-05,0,0,0,0,0,0,package://RCA3/meshes/FR_foot.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RCA3/meshes/FR_foot.STL,,foot-4,FR_foot_link,,FR_foot_joint,fixed,-9.45E-05,0.0005,-0.23563,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.0053275,-0.01473,5.6037E-05,0,0,0,0.75,0.00013288,3.0666E-08,-3.6207E-07,0.00023468,2.5284E-08,0.0001206,0,0,0,0,0,0,package://RCA3/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://RCA3/meshes/RL_hip.STL,,hip-3,RL_hip_link,RL_a_hip_link,RL_hip_joint,revolute,-0.21285,0.0625,0.05425,0,0,0,base,1,0,0,0,0,0,0,,,,,,,,
